title;unit;in_storage;type;cost;gost;fasovka;characteristic;main_provider
Начинка Дольчемикс Вишня Т  6N10107;кг;0;кремы;0;;;;1
Начинка Дольчемикс Йогурт Т  6N10110;кг;0;кремы;0;;;;1
Начинка Дольчемикс Карамель Т;кг;0;кремы;0;;;;1
Начинка Дольчемикс Клубника  Т  6N10113;кг;0;кремы;0;;;;1
Начинка Дольчемикс ЛимонТ 6N10119;кг;0;кремы;0;;;;1
Начинка Дольчемикс со вкус сливокТ;кг;0;кремы;0;;;;1
Начинка Дольчемикс со  вкус яичного ликера 6N10132;кг;0;кремы;0;;;;1
Начинка Дольчемикс со вкусом ореха;кг;0;кремы;0;;;;1
Начинка  Дольчемикс Творог Т  (крупинки)Л063;кг;0;кремы;0;;;;1
Начинка Дольчемикс Творог Т   6N101128;кг;0;кремы;0;;;;1
мед цветочно-акациевый;кг;0;Мед;261;;;;1
Начинка Дольчемикс Шоколад Т  6N10129;кг;0;кремы;0;;;;1
Начинка желейная Клубника Т;кг;0;кремы;0;;;;1
Начинка кремовая Банан;кг;0;кремы;0;;;;1
Начинка кремовая Ванильная;кг;0;кремы;0;;;;1
Начинка кремовая Нуга ореховая;кг;0;кремы;0;;;;1
Начинка кремовая Сливочная;кг;0;кремы;0;;;;1
Начинка кремовая Сырная со вкусом Эмменталер;кг;0;кремы;0;;;;1
Начинка кремовая Творожная особая зернистая;кг;0;кремы;0;;;;1
Начинка кремовая Творожная особая универсальная;кг;0;кремы;0;;;;1
Начинка "Мультифил Карамель"для конд.изд.(СиЭсЭм);кг;0;кремы;0;;;;1
Начинка форт со вкус апельсина кремовая;кг;0;кремы;0;;;;1
Начинка форт со вкус яблока с корицей;кг;0;кремы;0;;;;1
Начинка форт со вкусом вишни Т;кг;0;кремы;0;;;;1
Начинка форт со вкусом малины Т;кг;0;кремы;0;;;;1
Начинка фруктовая Т "Фруффи"(СиЭсЭм) 3,3кг.;кг;0;кремы;0;;;;1
Начинка Дольчемикс Вишня Т  6N10107;кг;0;кремы;0;;;;1
Начинка Яблочная сухая Пеппи ФСД;кг;0;кремы;0;;;;1
Жир фритюрный (масло)5 л;л;0;Жир;0;;;;1
Жир фритюрный масло 10 л;л;0;Жир;0;;;;1
Маргарин "Домашний" 60% ЭФКО;кг;0;Маргарин;0;;;;1
Маргарин "Домашний" МТ 60% (Дмитров);кг;0;Маргарин;0;;;;1
Маргарин  "Молочный"  (универсальный) МТ 82% (Дмитров);кг;0;Маргарин;0;;;;1
Маргарин "Столовый" ЭФКО  МТЭкоуниверсал 82%1003-32;кг;0;Маргарин;0;;;;1
Маргарин для выпечки Маргарон CRUSTO Profi 30;кг;0;Маргарин;0;;;;1
Маргарин для кремов ЭФКО ТМ Экокрем 82% 1103-32;кг;0;Маргарин;0;;;;1
Маргарин для песочного теста ЭФКО ТМ Экопай 82%1404-32;кг;0;Маргарин;0;;;;1
Маргарин "Маргарон" для слоенного теста  82% STRATO Classic/Vita 41 (МаргRк).;кг;0;Маргарин;0;;;;1
Маргарин для слоенного теста ЭФКО МТС Экослайс 82% 1703-41;кг;0;Маргарин;0;;;;1
Маргарин "Платте круассан" для слойки;кг;0;Маргарин;0;;;;1
Маргарин Универсальный 82% Маргарон UNI;кг;0;Маргарин;0;;;;1
Масло для кремов 82 % Маргарон 20 кг.FASTO profi 34;кг;0;Масло;0;;;;1
Майонез Hjlberg Провансаль 67% ВК 10 ГР ведро 10 л(9,4кг);Ведро;0;Майонез;0;;;;1
Майонез Васаби мягкийй вкус 200мл дой-пак дозат;шт;0;Майонез;0;;;;1
Майонез Золот зернышко соус 15% Ол 900мл ведро;шт;0;Майонез;0;;;;1
Майонез Золот зернышко соус15% Ол 220мл дой-пак доз;шт;0;Майонез;0;;;;1
Майонез Золотое зернышко Провансаль ведро 900 мл 67%;шт;0;Майонез;0;;;;1
Масло горчичное;кг;0;масло;0;;;;1
Молд силиконовый баба яга и акссесуары 8 шт м0135;шт;0;Майонез;0;;;;1
Марципан 1:2 22%;кг;0;Мастика марципаны;0;;;;1
Мастика бел 014485 ведро 7 кг Германия 01537;кг;0;Мастика марципаны;0;;;;1
Мастика бел 01490 ведро 12,5 кг Дания;кг;0;Мастика марципаны;0;;;;1
Мастика паста для моделирования ПРИНЦЕССА;кг;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная;кг;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная голубая 600г;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная желтая 600г;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная зеленая 600г;шт;0;Мастика марципаны;0;;;;1
Изюм Афганский;кг;0;сухофрукты;0;;короб. 12,5 кг;;1
Мастика сахарная ванильная коричневая  600г;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная красная 600г;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная оранжевая 600г;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная розовая 600г;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная синяя 600г;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная фиолетовая 600гр;шт;0;Мастика марципаны;0;;;;1
Мастика сахарная ванильная черная 600г;шт;0;Мастика марципаны;0;;;;1
Молд д/мастики "Малыш и медвежонок" силикон м2;шт;0;Мастика марципаны;0;;;;1
Молд-узор для мастики "Орнамент" лм21;шт;0;Мастика марципаны;0;;;;1
Молд-форма пластик.Игральные карты 4шт 13478;шт;0;Мастика марципаны;0;;;;1
Молд-форма Узор 4вида 90*90*11мм см039;шт;0;Мастика марципаны;0;;;;1
смесь для айсинга 500 гр россия 20250;шт;0;Мастика марципаны;0;;;;1
Трафарет для айсинга 315*75мм 31672;шт;0;Мастика марципаны;0;;;;1
Молд д/мастики "Клоун" силикон 3,5х8см м5;шт;0;Мастика марципаны;0;;;;1
Молд д/мастики "Медвежья семья" силикон м4;шт;0;Мастика марципаны;0;;;;1
Молоко ВАРЕНОЕ сгущенка Особая;кг;0;Сгущенное молоко;0;;;;1
Молоко ВАРЕНОЕ сгущенка Особая белая;кг;0;Сгущенное молоко;0;;;;1
Молоко ВАРЕНОЕ сгущенка Премиум Т;кг;0;Сгущенное молоко;0;;;;1
Молоко сгущ. вареное Т короб ЭРКОН;кг;0;Сгущенное молоко;0;;;;1
Молоко сгущ. вареное (ведро) жир 11%;кг;0;Сгущенное молоко;0;;;;1
Молоко сгущ. вареное "Борская" (коробка-15кг);кг;0;Сгущенное молоко;0;;;;1
Молоко сгущ. варёное Борская Термост 12%;кг;0;Сгущенное молоко;0;;;;1
Молоко сгущ. ЛЮКС Варенка 08-10 (ГОЛУБАЯ);кг;0;Сгущенное молоко;0;;;;1
Молоко сгущ. Н. Кисляй 400г ГОСТ Сгущеные берега;шт;0;Сгущенное молоко;0;;;;1
Молоко сухое  (1,5%);кг;0;Молоко сухое;0;;;;1
Мука гречневая ГОСТ;кг;0;Мука;0;;;;1
Мука кукурузная;кг;0;Мука;0;;;;1
Мука овсяная д/детского питания 30кг.;кг;0;Мука;0;;;;1
Мука пшеничная в/с (Воронеж);кг;0;Мука;0;;;;1
Мука пшенная ТУ;кг;0;Мука;0;;;;1
Мука ржаная обдирная;кг;0;Мука;0;;;;1
Мука рисовая;кг;0;Мука;0;;;;1
Отруби овсяные;кг;0;Мука;0;;;;1
Джем Абрикос Термостабильный(14);кг;0;Начинки;0;;;;1
Начинка желейная Абрикос Т;кг;0;Начинки;0;;;;1
Начинка желейная Вишня Т;кг;0;Начинки;0;;;;1
Конфитюр Абрикосовый гомогенный Т 14кг.;кг;0;Начинки;0;;;;1
Конфитюр Вишневый гомогенный  14кг.;кг;0;Начинки;0;;;;1
Конфитюр Персиковый гомогенный Т 14кг.;кг;0;Начинки;0;;;;1
Конфитюр Черная смородина ГОМОГЕННЫЙ Т 14 кг;кг;0;Начинки;0;;;;1
Конфитюр Абрикосовый  измельченный с кусоч плод -ягодн 12,5 кг;кг;0;Начинки;0;;;;1
Конфитюр Абрикосовый  с крупн  кусоч плод -ягодн 12,5 кг;кг;0;Начинки;0;;;;1
Конфитюр Ананасовый плодово-ягодный с кус.яг;кг;0;Начинки;0;;;;1
Конфитюр "Апельсин с кусоч плодово-ягодн;кг;0;Начинки;0;;;;1
Конфитюр  Апельсиновый с цедрой;кг;0;Начинки;0;;;;1
Конфитюр  Вишня скусоч плод-ягодн;кг;0;Начинки;0;;;;1
Конфитюр плод-ягодн Грушовый с кусоч;кг;0;Начинки;0;;;;1
Конфитюр плод-ягодн Ежевичный;кг;0;Начинки;0;;;;1
Конфитюр КИВИ Т  плодово-ягодный с кус.яг;кг;0;Начинки;0;;;;1
Конфитюр плод-ягодн Клубничный;кг;0;Начинки;0;;;;1
Конфитюр Клюквенный плод-ягодн с кус12,5 кг;кг;0;Начинки;0;;;;1
Конфитюр  Лимонный с цедрой;кг;0;Начинки;0;;;;1
Конфитюр Малиновый с кус.яг плод-ягод12,5;кг;0;Начинки;0;;;;1
Конфитюр плод-ягодн Персик Т;кг;0;Начинки;0;;;;1
Конфитюр плод-ягодн Черничный;кг;0;Начинки;0;;;;1
Конфитюр Яблоко;кг;0;Начинки;0;;;;1
Начинка Яблочная готовая кубики JABEX;кг;0;Начинки;0;;;;1
Повидло абрикосовое (бочка);кг;0;Начинки;0;;;;1
Повидло вишневое (бочка) 30кг;кг;0;Начинки;0;;;;1
Повидло клубничное (бочка) 30 кг;кг;0;Начинки;0;;;;1
Повидло персиковое (бочка) 30кг;кг;0;Начинки;0;;;;1
Повидло яблочное (бочка) Россошь 35 кг;кг;0;Начинки;0;;;;1
Повидло яблочное (бочка) Садовое 35 кг;кг;0;Начинки;0;;;;1
Повидло яблочное ГОСТ бочка (Обоянь) 30кг;кг;0;Начинки;0;;;;1
Начинка "Anabell" со вкусом шоколада;кг;0;Начинки;0;;;;1
Начинка Миндальная для конд. изделий Ла Гласса;кг;0;Начинки;0;;;;1
Маковая начинка "Звёздная";кг;0;Начинки;0;;;;1
Маковая начинка "Монмак";кг;0;Начинки;0;;;;1
Маковая начинка 50% ( Пфанл) 10кг;кг;0;Начинки;0;;;;1
Маковая начинка традиционная;кг;0;Начинки;0;;;;1
Начинка Орех лесной 24%  10 кг(сухая);кг;0;Начинки;0;;;;1
Начинка Твороженная Кваркфюлинг;кг;0;Начинки;0;;;;1
Смесь Сырная (Пфанл);кг;0;Начинки;0;;;;1
"Топфенфикс"творожная начинка;кг;0;Начинки;0;;;;1
Арахис 40/50 неочищ.;кг;0;Орехи;0;;;;1
Арахис Аргентина очищ.;кг;0;Орехи;0;;;;1
Арахис дробл. жаренный 2/4мм;кг;0;Орехи;0;;;;1
Арахис жареный дробл. 3-5мм 12;кг;0;Орехи;0;;;;1
Арахис обжаренный (лепестки)   8 кг коробка;кг;0;Орехи;0;;;;1
Арахис обжаренный (лепестки) 4,5 кг  ведро;кг;0;Орехи;0;;;;1
Арахис Сплит очищенный;кг;0;Орехи;0;;;;1
Грецкий орех;кг;0;Орехи;0;;;;1
Грецкий орех Экстра;кг;0;Орехи;0;;;;1
Кедровый орех в белой глазури;кг;0;Орехи;0;;;;1
Кешью обжаренный;кг;0;Орехи;0;;;;1
Кешью суш.;кг;0;Орехи;0;;;;1
Миндаль сушеный.30/32;кг;0;Орехи;0;;;;1
Миндаль/пластинки неочищен.;кг;0;Орехи;0;;;;1
Миндаль/пластинки очищен;кг;0;Орехи;0;;;;1
Миндальная мука;кг;0;Орехи;0;;;;1
Фисташка жарен. соленая 28/30;кг;0;Орехи;0;;;;1
Фундук сушен.;кг;0;Орехи;0;;;;1
Кунжут семена отбеленные;кг;0;Семена;0;;;;1
Семена подсолнеч очищенные ВП;кг;0;Семена;0;;;;1
Семена подсолнечника сушеные очищ;кг;0;Семена;0;;;;1
Семечки тыквен. суш очищен;кг;0;Семена;0;;;;1
Семя льна;кг;0;Семена;0;;;;1
Семя льна;кг;0;Семена;0;;;;1
'Миндаль обжаренный 
целый';кг;0;Орех;0;;;;1
Патока 35 кг;кг;0;Сахар;0;;;;1
Сахар;кг;0;Сахар;0;;;;1
Сахарная пудра ароматизиров термостойкая деко-про;кг;0;Сахар;0;;;;1
Сахарная пудра нетающая бархатная  "Бархатная" ФСД;кг;0;Сахар;0;;;;1
Сахарная пудра коробка 20кг;кг;0;Сахар;0;;;;1
Сахарная пудра РОССИЯ;кг;0;Сахар;0;;;;1
Свити сахарная пудра нетающая;кг;0;Сахар;0;;;;1
Сахарная пудра Сладкий снег;кг;0;Сахар;0;;;;1
Сахарозам. Аспасвит;кг;0;Сахар;0;;;;1
Сода весовая;кг;0;сода;0;;;;1
Яичный порошок;кг;0;;0;;;;1
Сливки "Прима Наткрем" с доб. животн.сливок;кг;0;сливки;0;;;;1
Сливки ванильно-сливочные (коробка) 10кг;л;0;сливки;0;;;;1
Сливки "Декор Ап";л;0;сливки;0;;;;1
Сливки "Декор Ап" белые;л;0;сливки;0;;;;1
Сливки Дукатто 20 л. оранж 302/301;л;0;сливки;0;;;;1
Сливки Дукатто 20 л. 102 желтые/зел;л;0;сливки;0;;;;1
Сливки Дэлли Крем Софи;л;0;сливки;0;;;;1
Сливки Завиток Т М;л;0;сливки;0;;;;1
Сливки СКИТ 1 кг Эклектика;л;0;сливки;0;;;;1
Маковая начинка "Монмак";кг;0;Начинки;0;;;;1
Смесь для бисквита свекольного с медовым вкус 4В31101;кг;0;сливки;0;;;;1
Смесь для маффина вкус шоколада "Милк Кейк концентрат";кг;0;сливки;0;;;;1
Смесь для маффина и бискв "Пунш Кейк";кг;0;сливки;0;;;;1
Смесь для песоч теста ND PRIME Bachnmix;кг;0;сливки;0;;;;1
Вишня суш.б/к;кг;0;Сухофрукты;0;;;;1
Изюм б/к Афганистан в/с;кг;0;Сухофрукты;0;;;;1
Изюм Жумбо золотой;кг;0;Сухофрукты;0;;;;1
Изюм Жумбо чёрный;кг;0;Сухофрукты;0;;;;1
Изюм Малояр 10кг;кг;0;Сухофрукты;0;;;;1
Изюм Малояр Aqiq Raisins Иран;кг;0;Сухофрукты;0;;;;1
Изюм Малояр HATAMI 8000 Иран;кг;0;Сухофрукты;0;;;;1
Изюм Султана Голд Иран;кг;0;Сухофрукты;0;;;;1
Имбирь подсушенный;кг;0;Сухофрукты;0;;;;1
Инжир сушен.;кг;0;Сухофрукты;0;;;;1
Клюква сушеная;кг;0;Сухофрукты;0;;;;1
Курага в/с  №6 Таджикистан;кг;0;Сухофрукты;0;;;;1
Курага Экстра;кг;0;Сухофрукты;0;;;;1
Сухофрукты для компота (10);кг;0;Сухофрукты;0;;;;1
Финики В/С Заррин;кг;0;Сухофрукты;0;;;;1
Цукаты (АНАНАС ) куб. 8-10мм микс;кг;0;Сухофрукты;0;;;;1
Цукаты (ананас) куб 10 мм Микс;кг;0;Сухофрукты;0;;;;1
Цукаты (АНАНАС) кубики 3-5мм микс  5 кг.;кг;0;Сухофрукты;0;;;;1
Цукаты (АНАНАС) цилиндры Микс;кг;0;Сухофрукты;0;;;;1
Цукаты (АНАНАС) язычки микс;кг;0;Сухофрукты;0;;;;1
Цукаты микс;кг;0;Сухофрукты;0;;;;1
Цукаты (папаи) палочки;кг;0;Сухофрукты;0;;;;1
ЧЕРНОСЛИВ  Б/К Узбекистан в/с;кг;0;Сухофрукты;0;;;;1
Чернослив б/к Чили;кг;0;Сухофрукты;0;;;;1
Шиповник суш.;кг;0;Сухофрукты;0;;;;1
Топпинг 1 кг Апельсин (12шт.);шт;0;топпинги;0;;;;1
Топпинг 1кг Ваниль;бут;0;топпинги;0;;;;1
Топпинг Вишня 1кг;шт;0;топпинги;0;;;;1
Топпинг 1кг Голубое Небо ( Банан+Клубника) вселенная;кг;0;топпинги;0;;;;1
Топпинг Карамель 1кг;шт;0;топпинги;0;;;;1
Топпинг Киви 1кг;шт;0;топпинги;0;;;;1
Топпинг Клубника 1кг;шт;0;топпинги;0;;;;1
Топпинг 1кг Малина;шт;0;топпинги;0;;;;1
Топпинг 1кг  Персик;кг;0;топпинги;0;;;;1
Топпинг Шоколад 1кг;шт;0;топпинги;0;;;;1
Кунжут очищенный;кг;0;бобы;0;;мешок 25 кг;;1
Мак пищевой;кг;0;бобы;0;;мешок 25 кг;;1
Маш (Мош);кг;0;бобы;0;;мешок 5 кг;;1
Нут (Горох);кг;0;бобы;0;;мешок 5 кг;;1
Поп корн (кукуруза);кг;0;бобы;0;;мешок 5 кг;;1
Рис «Девзира» красный;кг;0;бобы;0;;мешок 5 кг;;1
Рис «Девзира» белый;кг;0;бобы;0;;мешок 5 кг;;1
Фасоль белая;кг;0;бобы;0;;мешок 5 кг;;1
Фасоль красная;кг;0;бобы;0;;мешок 5 кг;;1
Чечевица;кг;0;бобы;0;;мешок 5 кг;;1
Изюм «Малояр»;кг;0;сухофрукты;0;;короб. 10 кг;;1
Изюм «Шигани»;кг;0;сухофрукты;0;;короб. 10 кг;;1
Изюм Афганский;кг;0;сухофрукты;0;;короб. 12,5 кг;;1
Изюм голден «Узбекистан»;кг;0;сухофрукты;0;;короб. 10 кг;;1
Изюм голден «Иран»;кг;0;сухофрукты;0;;короб. 10 кг;;1
Изюм Джамбо Голден;кг;0;сухофрукты;0;;короб.10 кг;;1
Изюм Джамбо Флейм;кг;0;сухофрукты;0;;короб. 10 кг;;1
Изюм сояги «Терма»;кг;0;сухофрукты;0;;короб. 12,5 кг;;1
Изюм сояги «МО»;кг;0;сухофрукты;0;;короб. 11 кг;;1
Курага Индустр. "Столовая";кг;0;сухофрукты;0;;коробка 10 кг;;1
Курага №7-8;кг;0;сухофрукты;0;;коробка 10 кг;;1
Курага №6;кг;0;сухофрукты;0;;коробка 10 кг;;1
Курага №3;кг;0;сухофрукты;0;;коробка 10 кг;;1
Курага №2;кг;0;сухофрукты;0;;коробка 10 кг;;1
Курага Джамбо;кг;0;сухофрукты;0;;коробка 5 кг;;1
Курага Джамбо "Элитна";кг;0;сухофрукты;0;;коробка 5 кг;;1
Курага "Шоколадная";кг;0;сухофрукты;0;;коробка 10 кг;;1
Урюк №2;кг;0;сухофрукты;0;;коробка 5 кг;;1
Урюк "Шоколадный";кг;0;сухофрукты;0;;коробка 5 кг;;1
Курага Индустриальная;кг;0;сухофрукты;0;;коробка 12,5 кг;;1
Курага №8;кг;0;сухофрукты;0;;коробка 4,75 кг;;1
Курага №3;кг;0;сухофрукты;0;;коробка 4,75 кг;;1
Курага №1;кг;0;сухофрукты;0;;коробка 4,75 кг;;1
Смесь «Ореховая»;кг;0;Орехи;0;;упак. 1 кг;;1
Смесь «Радуга»;кг;0;Орехи;0;;упак. 1 кг;;1
Смесь «Спортивная» 0,5 кг;кг;0;Орехи;0;;упак. 0,5 кг;;1
Смесь «Спортивная» 1 кг;кг;0;Орехи;0;;упак. 1 кг;;1
Смесь «Фруктово-ягодная»;кг;0;Орехи;0;;упак. 1 кг;;1
Абрикосовые косточки;кг;0;Орехи;0;;мешок 5 кг;;1
Арахис Аргентина;кг;0;Орехи;0;;мешок 5 кг;;1
Арахис бланшированный;кг;0;Орехи;0;;мешок 5 кг;;1
Арахис в кокосовом соке;кг;0;Орехи;0;;короб. 5 кг;;1
Арахис обжаренный;кг;0;Орехи;0;;мешок 5 кг;;1
Арахис Китайский 28/32;кг;0;Орехи;0;;мешок 5 кг;;1
Арахис в скорлупе;кг;0;Орехи;0;;мешок 7 кг;;1
Арахис бланшированный соленый;кг;0;Орехи;0;;мешок 5 кг;;1
Арахис узбекский;кг;0;Орехи;0;;мешок 5 кг;;1
Бразильский орех;кг;0;Орехи;0;;мешок 5 кг;;1
Грецкий орех «Бабочка»;кг;0;Орехи;0;;кор. 10 кг;;1
Грецкий орех «Бабочка» экстра;кг;0;Орехи;0;;кор. 10 кг;;1
Грецкий орех в скорлупе мытый;кг;0;Орехи;0;;мешок 5 кг;;1
Грецкий орех очищенный;кг;0;Орехи;0;;кор. 10 кг;;1
Кедровый орех в скорлупе;кг;0;Орехи;0;;мешок 5 кг;;1
Кедровый орех очищенный;кг;0;Орехи;0;;мешок 5 кг;;1
Кедровый орех «Натси» (очищ.);кг;0;Орехи;0;;мешок 2-12,5 кг;;1
Кешью № 320;кг;0;Орехи;0;;мешок 5 кг;;1
Кешью № 450;кг;0;Орехи;0;;мешок 5 кг;;1
Кешью жареный;кг;0;Орехи;0;;мешок 5 кг;;1
Миндаль 23/25 Nonparel Extra;кг;0;Орехи;0;;мешок 5 кг;;1
Миндаль 27/30 Nonparel;кг;0;Орехи;0;;мешок 5 кг;;1
Миндаль жареный;кг;0;Орехи;0;;мешок 5 кг;;1
Семечки подсолнуха (неочищ.);кг;0;Орехи;0;;мешок 30 кг;;1
Семечки н/о пузанок;кг;0;Орехи;0;;мешок 30 кг;;1
Семечки подсолнуха очищенные;кг;0;Орехи;0;;мешок 5 кг;;1
Тыквенные семечки очищенные;кг;0;Орехи;0;;мешок 5 кг;;1
Тыквенные семечки в скорлупе;кг;0;Орехи;0;;мешок 5-10 кг;;1
Фисташки натуральные «Иран»;кг;0;Орехи;0;;мешок 5 кг;;1
Фисташки натуральные «США»;кг;0;Орехи;0;;короб. 11,34 кг;;1
Фундук очищенный обжареный;кг;0;Орехи;0;;мешок 5 кг;;1
Фундук в скорлупе;кг;0;Орехи;0;;мешок 5 кг;;1
Фундук очищенный Дагестан;кг;0;Орехи;0;;мешок 5 кг;;1
Фундук очищенный крупный 15++;кг;0;Орехи;0;;мешок 5 кг;;1
Айва сушеная;кг;0;сухофрукты;0;;мешок 5 кг;;1
Боярышник;кг;0;сухофрукты;0;;мешок 5 кг;;1
Вишня сушеная;кг;0;сухофрукты;0;;мешок 40 кг;;1
Груша сушеная;кг;0;сухофрукты;0;;мешок 5 кг;;1
Дыня сушеная;кг;0;сухофрукты;0;;штук. 1, 2;;1
Инжир Экстра;кг;0;сухофрукты;0;;кор. 6 кг;;1
Инжир Туркел;шт;0;сухофрукты;0;;короб. 5 кг;;1
Инжир Sunmar 2,5 кг;шт;0;сухофрукты;0;;короб. 2,5 кг;;1
Смесь Компотная 1 сорт;кг;0;сухофрукты;0;;мешок 30 кг;;1
Молоко паст. "Краснодарское" 2,5 % жирн. в цистернах.;л;0;Молоко;0;ТУ 9222-001-49464 828-04;;;1
Смесь Компотная в/с;кг;0;сухофрукты;0;;мешок 30 кг;;1
Смесь Компотная в/с Экстра;кг;0;сухофрукты;0;;мешок 30 кг;;1
Шиповник Экстра №1;кг;0;сухофрукты;0;;короб. 8 кг;;1
Шиповник в/с №2;кг;0;сухофрукты;0;;мешок 10 кг;;1
Шиповник в/с;кг;0;сухофрукты;0;;мешок 5 кг;;1
Яблоко сушеное;кг;0;сухофрукты;0;;мешок 5 кг;;1
Чернослив Сафруко 30/40;кг;0;сухофрукты;0;;коробка 10 кг;;1
Чернослив крупный 10/20;кг;0;сухофрукты;0;;коробка 10 кг;;1
Чернослив крупный 10/20;кг;0;сухофрукты;0;;коробка 10 кг;;1
Чернослив средний 30/40;кг;0;сухофрукты;0;;коробка 10 кг;;1
Чернослив мелкий 70/80;кг;0;сухофрукты;0;;коробка 10 кг;;1
Чернослив в банках;шт;0;сухофрукты;0;;коробка 12 шт;;1
Чернослив с косточкой;кг;0;сухофрукты;0;;коробка 10 кг;;1
Чернослив с косточкой 40/50;кг;0;сухофрукты;0;;коробка 10 кг;;1
Ананас кольцо;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас Кубики Микс 8-10мм;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас листики Манго;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас листики микс;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас листики желтые;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас палочки желтые;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас палочки микс;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас таблетки микс;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананас таблетки желтые;кг;0;сухофрукты;0;;упак. 5 кг;;1
Ананс кубики желтые;кг;0;сухофрукты;0;;упак. 5 кг;;1
Папайя со вкусом канталупа;кг;0;сухофрукты;0;;упак. 5 кг;;1
Папайя палочки;кг;0;сухофрукты;0;;упак. 5 кг;;1
Папайя кубики 8-10 мм;кг;0;сухофрукты;0;;упак. 5 кг;;1
Банановые чипсы 6,8 кг;кг;0;сухофрукты;0;;короб. 6,8 кг;;1
Вишня вяленая 12,5 кг;шт;0;сухофрукты;0;;упак. 2,5 кг;;1
Грейпфрут полоски;кг;0;сухофрукты;0;;короб. 7 кг;;1
Груша вяленая;кг;0;сухофрукты;0;;упак. 2,5 кг;;1
Имбирь в сахаре;кг;0;сухофрукты;0;;упак. 2 кг;;1
Канталупа тайская дыня;кг;0;сухофрукты;0;;упак. 5 кг;;1
Киви вяленый;кг;0;сухофрукты;0;;упак. 1 кг;;1
Клубника сушеная;кг;0;сухофрукты;0;;упак. 5 кг;;1
Кокос кубики;кг;0;сухофрукты;0;;короб. 5 кг;;1
Кумкуат лайм зеленый;кг;0;сухофрукты;0;;упак. 5 кг;;1
Кумкуат лайм красный;кг;0;сухофрукты;0;;упак. 5 кг;;1
Кумкуат лимон желтый;кг;0;сухофрукты;0;;упак. 2,5 кг;;1
Манго язычки оранжевые;кг;0;сухофрукты;0;;упак. 5 кг;;1
Кумкуат мандарин в сиропе;кг;0;сухофрукты;0;;упак. 2,5-5 кг;;1
Кумкуат мандарин сушеный;кг;0;сухофрукты;0;;упак. 2,5 кг;;1
Персик вяленый;кг;0;сухофрукты;0;;упак. 2,5 кг;;1
Помело;кг;0;сухофрукты;0;;упак. 4 кг;;1
Райское яблоко;кг;0;сухофрукты;0;;короб. 10 кг;;1
Физалис;кг;0;сухофрукты;0;;упак. 2,5 кг;;1
Черешня в сиропе;кг;0;сухофрукты;0;;короб. 7 кг;;1
Томат черри сушеный;кг;0;сухофрукты;0;;упак. 5 кг;;1
Яблоко кольцо вяленое;кг;0;сухофрукты;0;;короб. 10 кг;;1
Финики Иран;шт;0;сухофрукты;0;;;;1
Мука миндальная ПРЕМИУМ ;кг;0;Премиксы для выпечки;12348.72;;(пакет 12.5 кг.);;1
Комп.пищ.добавка премикс САВОЯРДИ микс ;кг;0;Премиксы для выпечки;5688.00;;(мешок 10 кг.);;1
Комп.пищ.добавка премикс ОВОСИЛ ;кг;0;Премиксы для выпечки;1124.64;;(мешок 0.6 кг.);;1
Комп.пищ.добавка премикс БИСКВИЗИТ ;кг;0;Премиксы для выпечки;3888.00;;(мешок 15 кг.);;1
Смесь для мучных изделий КЕЙК ЗЛАКИ ;кг;0;Премиксы для выпечки;1821.60;;(мешок 5 кг.);;1
Комп.пищ.добавка премикс МУРБЕЛЛА ;кг;0;Премиксы для выпечки;3384.00;;(мешок 15 кг.);;1
Смесь для мучных изделий ФРОЛЛА ЗЛАКИ ;кг;0;Премиксы для выпечки;1389.60;;(мешок 5 кг.);;1
Смесь сахаристая ГРИЛЬЯЖ ;кг;0;Премиксы для выпечки;288;;(мешок 0.5 кг.);;1
Комп.пищ.добавка премикс ФЛОМИКС ;кг;0;Премиксы для выпечки;309.6;;(мешок 0.6 кг.);;1
Комп.пищ.добавка премикс ФЛОМИКС 10х0,6 кг. ;кг;0;Премиксы для выпечки;3096.00;;(короб 6 кг.);;1
Комп.пищ.доб.премикс МАФФИН ;кг;0;Премиксы для выпечки;2196.00;;(мешок 10 кг.);;1
Премикс БРАУНИ ШОК ;кг;0;Премиксы для выпечки;1836.00;;(мешок 5 кг.);;1
Комп.пищ.добавка премикс ВАФЛИ/ОЛАДЬИ ;кг;0;Премиксы для выпечки;396;;(пакет 1 кг.);;1
